LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID3141,3141,28,-1.0,1446.1205134494317,801.7123083348248,0.0,342417.09661865234,817,5.0,1,,31.728682170542637,30.0,0.0,81.0,4093.0,17.096578576750606,0.35322084689293515,0.9688364533969518,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3144,3144,28,-1.0,557.8149893823183,1180.6784709654466,0.0,342417.09661865234,817,5.0,1,,25.488372093023255,22.0,0.0,94.0,3288.0,17.075254518175274,0.34030868704740563,0.7580068170163335,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3147,3147,28,-1.0,817.4565293770592,581.8456425520443,0.0,342417.09661865234,817,5.0,1,,49.06976744186046,45.0,0.0,123.0,6330.0,24.138333765542807,0.23618685530867276,0.7767983775440434,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3116,3116,28,-1.0,669.4056086992069,318.8895297063067,0.0,0.0,0,5.0,1,,45.248062015503876,44.0,6.0,118.0,5837.0,21.980826519858713,0.37246572528385474,1.1173024911543543,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3119,3119,28,-1.0,879.3285559289973,643.7176691039825,0.0,67896.65808105469,162,5.0,1,,101.88372093023256,96.0,0.0,255.0,13143.0,83.85894294019279,0.6840921475432128,0.9870386615963549,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3121,3121,28,-1.0,866.0702645250104,627.1448048489991,0.0,68315.77325439453,163,5.0,1,,69.92248062015504,61.0,0.0,255.0,9020.0,55.41894593727357,0.7491172592734515,1.0807355551077567,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3123,3123,28,-1.0,872.6994102270039,638.193381018988,0.0,68315.77325439453,163,5.0,1,,63.24031007751938,44.0,0.0,255.0,8158.0,61.979428945442066,0.6711570883021216,0.8195648460404973,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3126,3126,28,-1.0,626.31616163625,1112.177298711515,0.0,168903.41485595703,403,5.0,1,,84.92248062015504,41.0,0.0,255.0,10955.0,87.06244278561478,0.6295885438075453,0.7537037444765509,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3128,3128,28,-1.0,629.6307344872466,1111.072441094516,0.0,169322.53002929688,404,5.0,1,,58.68217054263566,42.0,0.0,255.0,7570.0,54.8054776710498,0.677749215890731,0.8650758274831185,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3130,3130,28,-1.0,637.3647378062388,1101.128722541526,0.0,169322.53002929688,404,5.0,1,,59.86046511627907,45.0,0.0,209.0,7722.0,54.047974086981064,0.775915092885506,0.9677934189121996,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3132,3132,28,-1.0,516.935257553359,902.2543514817245,0.0,342417.09661865234,817,5.0,1,,36.627906976744185,33.0,1.0,99.0,4725.0,18.356312677558073,0.23471719513618997,0.7586370728035698,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3134,3134,28,-1.0,1032.9037646918441,847.0114706317796,0.0,261527.8681640625,624,5.0,1,,49.87596899224806,43.0,0.0,152.0,6434.0,37.40070348434679,0.46485685731266146,0.8463804517646458,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3169,3169,30,-1.0,1395.2970630674824,732.1062784638943,0.0,341997.9814453125,816,5.0,1,,28.53488372093023,18.0,0.0,153.0,3681.0,30.007302890199682,0.6245017535458246,0.7311266567460964,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3201,3201,30,-1.0,978.765741458898,421.64128808720415,0.0,342417.09661865234,817,5.0,1,,20.100775193798448,18.0,0.0,66.0,2593.0,13.631217022679223,0.4988542996623239,0.9815727011525146,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
