LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2539 ? ID2541,16,2539,2541,-1.0,0.007286731366062889,0.015817002398569945,6.629145701993366,338016.387298584,764.1471493568623,388.49555957723726,0.0,
ID2454 ? ID2456,16,2454,2456,-1.0,NaN,0.0019648829201932448,2.4705367370678704,628.6727600097656,703.3799804219229,720.505273485406,0.0,
ID2524 ? ID2528,16,2524,2528,-1.0,3.1663802469411726E-5,9.981042333875262E-4,82.82748449991409,200337.0528564453,743.1548546338834,181.88718519844346,0.0,
ID2471 ? ID2475,16,2471,2475,-1.0,6.029332407161548E-4,0.03546600063700397,14.864339004648928,285207.8754577637,770.7762950588558,824.3618894833023,0.0,
ID2473 ? ID2482,16,2473,2482,-1.0,3.655541955704707E-5,0.0012143778921844279,69.21913130648127,313917.26483154297,743.1548546338834,797.8453066753286,0.0,
ID2528 ? ID2532,16,2528,2532,-1.0,0.007112197559468747,0.013180835332141573,5.524288084994453,242039.01260375977,749.7840003358767,220.00477298490543,0.0,
ID2456 ? ID2458,16,2456,2458,-1.0,0.005960393953026622,0.017683946281739808,7.411610211203865,1466.9031066894531,702.8275516134235,717.7431294429086,0.0,
ID2602 ? ID2621,20,2602,2621,-1.0,1.2187112438260514E-6,8.970547088568844E-4,168.05825018965066,112951.53921508789,1104.995724201022,614.9913710620112,0.0,
ID2629 ? ID2633,20,2629,2633,-1.0,0.003564710920913577,0.018640516090121094,7.812523132255248,81517.90121459961,1038.7042671810882,726.0295615704003,0.0,
ID2595 ? ID2600,20,2595,2600,-1.0,NaN,0.006125338451826847,115.52500291511785,9430.091400146484,1066.8781364145602,762.489862931364,0.0,
ID2623 ? ID2648,20,2623,2648,-1.0,7.440849186846008E-7,5.330033339013745E-4,72.1549004512489,274729.9961242676,1085.6607159035416,543.7280547655823,0.0,
ID2664 ? ID2670,20,2664,2670,-1.0,2.9402545625265364E-5,0.0010345798575116685,109.26924531135829,289608.58477783203,1478.9900275551488,658.6332469334676,0.0,
ID2659 ? ID2664,20,2659,2664,-1.0,6.571608980444727E-4,0.005894648760579855,2.470536737067921,236590.5153503418,1527.6037627031005,636.5360945934897,0.0,
